pipeline,model,question_category,html_acc,latex_acc,markdown_acc,avg_acc
VLM-TEXT,table-llava-v1.5-7b-hf,Single-step Binary Verification,63.92,59.60,64.65,62.72
LLM,Qwen2.5-7B-Instruct,Aggregation / Counting / Arithmetic,27.00,25.00,28.00,26.67
LLM,Qwen2.5-7B-Instruct,Comparison & Extremum,47.00,42.00,40.00,43.00
LLM,Qwen2.5-7B-Instruct,Conditional Lookup,34.00,31.00,33.00,32.67
LLM,Qwen2.5-7B-Instruct,Multi-Item Lookup,37.00,38.00,36.00,37.00
LLM,Qwen2.5-7B-Instruct,Multi-hop Binary Verification,57.00,56.00,61.00,58.00
LLM,Qwen2.5-7B-Instruct,Simple Lookup,54.00,50.00,54.00,52.67
LLM,Qwen2.5-7B-Instruct,Single-step Binary Verification,56.00,57.00,66.00,59.67
LLM,Qwen3-30B-A3B-Instruct-2507,Aggregation / Counting / Arithmetic,29.00,30.00,30.00,29.67
LLM,Qwen3-30B-A3B-Instruct-2507,Comparison & Extremum,50.00,46.00,41.00,45.67
LLM,Qwen3-30B-A3B-Instruct-2507,Conditional Lookup,34.00,29.00,26.00,29.67
LLM,Qwen3-30B-A3B-Instruct-2507,Multi-Item Lookup,36.00,31.00,30.00,32.33
LLM,Qwen3-30B-A3B-Instruct-2507,Multi-hop Binary Verification,80.00,78.00,78.00,78.67
LLM,Qwen3-30B-A3B-Instruct-2507,Simple Lookup,52.00,47.00,45.00,48.00
LLM,Qwen3-30B-A3B-Instruct-2507,Single-step Binary Verification,77.00,78.00,76.00,77.00
LLM,TAMA-QWen3,Aggregation / Counting / Arithmetic,2.00,2.00,2.00,2.00
LLM,TAMA-QWen3,Comparison & Extremum,0.00,0.00,0.00,0.00
LLM,TAMA-QWen3,Conditional Lookup,0.00,0.00,0.00,0.00
LLM,TAMA-QWen3,Multi-Item Lookup,0.00,0.00,0.00,0.00
LLM,TAMA-QWen3,Multi-hop Binary Verification,73.00,72.00,74.00,73.00
LLM,TAMA-QWen3,Simple Lookup,1.00,1.00,1.00,1.00
LLM,TAMA-QWen3,Single-step Binary Verification,72.00,73.00,71.00,72.00
LLM,TableGPT2-7B,Aggregation / Counting / Arithmetic,25.00,18.00,22.00,21.67
LLM,TableGPT2-7B,Comparison & Extremum,33.00,33.00,33.00,33.00
LLM,TableGPT2-7B,Conditional Lookup,29.00,29.00,25.00,27.67
LLM,TableGPT2-7B,Multi-Item Lookup,34.00,28.00,30.00,30.67
LLM,TableGPT2-7B,Multi-hop Binary Verification,72.00,71.00,75.00,72.67
LLM,TableGPT2-7B,Simple Lookup,45.00,40.00,35.00,40.00
LLM,TableGPT2-7B,Single-step Binary Verification,73.00,72.00,75.00,73.33
