pipeline,model,format,task,correct,total,accuracy_pct
VLM-TEXT,llava_1.6-vicuna-7B,html,OVERALL,273,5995,4.6
VLM-TEXT,llava_1.6-vicuna-7B,markdown,table_partition,0,616,0.0
VLM-TEXT,llava_1.6-vicuna-7B,markdown,table_first_cell,99,616,16.1
VLM-TEXT,llava_1.6-vicuna-7B,markdown,table_last_cell,18,616,2.9
VLM-TEXT,llava_1.6-vicuna-7B,markdown,size_detection,0,616,0.0
VLM-TEXT,llava_1.6-vicuna-7B,markdown,number_of_rows,11,616,1.8
VLM-TEXT,llava_1.6-vicuna-7B,markdown,number_of_columns,2,616,0.3
VLM-TEXT,llava_1.6-vicuna-7B,markdown,cell_lookup,1,616,0.2
VLM-TEXT,llava_1.6-vicuna-7B,markdown,reverse_lookup,4,616,0.6
VLM-TEXT,llava_1.6-vicuna-7B,markdown,column_retrieval,24,616,3.9
VLM-TEXT,llava_1.6-vicuna-7B,markdown,row_retrieval,0,616,0.0
VLM-TEXT,llava_1.6-vicuna-7B,markdown,OVERALL,159,6160,2.6
VLM-TEXT,llava_1.6-vicuna-7B,latex,table_partition,0,619,0.0
VLM-TEXT,llava_1.6-vicuna-7B,latex,table_first_cell,236,619,38.1
VLM-TEXT,llava_1.6-vicuna-7B,latex,table_last_cell,17,619,2.7
VLM-TEXT,llava_1.6-vicuna-7B,latex,size_detection,0,619,0.0
VLM-TEXT,llava_1.6-vicuna-7B,latex,number_of_rows,67,619,10.8
VLM-TEXT,llava_1.6-vicuna-7B,latex,number_of_columns,52,619,8.4
VLM-TEXT,llava_1.6-vicuna-7B,latex,cell_lookup,6,619,1.0
VLM-TEXT,llava_1.6-vicuna-7B,latex,reverse_lookup,5,619,0.8
VLM-TEXT,llava_1.6-vicuna-7B,latex,column_retrieval,84,619,13.6
VLM-TEXT,llava_1.6-vicuna-7B,latex,row_retrieval,0,619,0.0
VLM-TEXT,llava_1.6-vicuna-7B,latex,OVERALL,467,6190,7.5
VLM-TEXT,ministral_3-14B-Instruct,html,table_partition,126,629,20.0
VLM-TEXT,ministral_3-14B-Instruct,html,table_first_cell,601,629,95.5
VLM-TEXT,ministral_3-14B-Instruct,html,table_last_cell,360,629,57.2
VLM-TEXT,ministral_3-14B-Instruct,html,size_detection,141,629,22.4
VLM-TEXT,ministral_3-14B-Instruct,html,number_of_rows,322,629,51.2
VLM-TEXT,ministral_3-14B-Instruct,html,number_of_columns,623,629,99.0
VLM-TEXT,ministral_3-14B-Instruct,html,cell_lookup,259,629,41.2
VLM-TEXT,ministral_3-14B-Instruct,html,reverse_lookup,237,629,37.7
VLM-TEXT,ministral_3-14B-Instruct,html,column_retrieval,556,629,88.4
VLM-TEXT,ministral_3-14B-Instruct,html,row_retrieval,143,629,22.7
VLM-TEXT,ministral_3-14B-Instruct,html,OVERALL,3368,6290,53.5
VLM-TEXT,ministral_3-14B-Instruct,markdown,table_partition,11,629,1.7
VLM-TEXT,ministral_3-14B-Instruct,markdown,table_first_cell,434,629,69.0
VLM-TEXT,ministral_3-14B-Instruct,markdown,table_last_cell,311,629,49.4
VLM-TEXT,ministral_3-14B-Instruct,markdown,size_detection,41,629,6.5
VLM-TEXT,ministral_3-14B-Instruct,markdown,number_of_rows,281,629,44.7
VLM-TEXT,ministral_3-14B-Instruct,markdown,number_of_columns,503,629,80.0
VLM-TEXT,ministral_3-14B-Instruct,markdown,cell_lookup,150,629,23.8
VLM-TEXT,ministral_3-14B-Instruct,markdown,reverse_lookup,134,629,21.3
VLM-TEXT,ministral_3-14B-Instruct,markdown,column_retrieval,390,629,62.0
VLM-TEXT,ministral_3-14B-Instruct,markdown,row_retrieval,70,629,11.1
VLM-TEXT,ministral_3-14B-Instruct,markdown,OVERALL,2325,6290,37.0
VLM-TEXT,ministral_3-14B-Instruct,latex,table_partition,89,629,14.1
VLM-TEXT,ministral_3-14B-Instruct,latex,table_first_cell,497,629,79.0
VLM-TEXT,ministral_3-14B-Instruct,latex,table_last_cell,392,629,62.3
VLM-TEXT,ministral_3-14B-Instruct,latex,size_detection,190,629,30.2
VLM-TEXT,ministral_3-14B-Instruct,latex,number_of_rows,255,629,40.5
VLM-TEXT,ministral_3-14B-Instruct,latex,number_of_columns,625,629,99.4
VLM-TEXT,ministral_3-14B-Instruct,latex,cell_lookup,121,629,19.2
VLM-TEXT,ministral_3-14B-Instruct,latex,reverse_lookup,107,629,17.0
VLM-TEXT,ministral_3-14B-Instruct,latex,column_retrieval,431,629,68.5
VLM-TEXT,ministral_3-14B-Instruct,latex,row_retrieval,77,629,12.2
VLM-TEXT,ministral_3-14B-Instruct,latex,OVERALL,2784,6290,44.3
VLM-TEXT,table-llava-v1.5-7b-hf,html,table_partition,0,599,0.0
VLM-TEXT,table-llava-v1.5-7b-hf,html,table_first_cell,118,600,19.7
VLM-TEXT,table-llava-v1.5-7b-hf,html,table_last_cell,17,600,2.8
VLM-TEXT,table-llava-v1.5-7b-hf,html,size_detection,0,600,0.0
VLM-TEXT,table-llava-v1.5-7b-hf,html,number_of_rows,42,600,7.0
VLM-TEXT,table-llava-v1.5-7b-hf,html,number_of_columns,3,600,0.5
VLM-TEXT,table-llava-v1.5-7b-hf,html,cell_lookup,1,599,0.2
VLM-TEXT,table-llava-v1.5-7b-hf,html,reverse_lookup,10,599,1.7
VLM-TEXT,table-llava-v1.5-7b-hf,html,column_retrieval,44,599,7.3
VLM-TEXT,table-llava-v1.5-7b-hf,html,row_retrieval,0,599,0.0
VLM-TEXT,table-llava-v1.5-7b-hf,html,OVERALL,235,5995,3.9
VLM-TEXT,table-llava-v1.5-7b-hf,markdown,table_partition,0,616,0.0
VLM-TEXT,table-llava-v1.5-7b-hf,markdown,table_first_cell,131,616,21.3
VLM-TEXT,table-llava-v1.5-7b-hf,markdown,table_last_cell,24,616,3.9
VLM-TEXT,table-llava-v1.5-7b-hf,markdown,size_detection,0,616,0.0
VLM-TEXT,table-llava-v1.5-7b-hf,markdown,number_of_rows,151,616,24.5
VLM-TEXT,table-llava-v1.5-7b-hf,markdown,number_of_columns,19,616,3.1
VLM-TEXT,table-llava-v1.5-7b-hf,markdown,cell_lookup,0,616,0.0
VLM-TEXT,table-llava-v1.5-7b-hf,markdown,reverse_lookup,6,616,1.0
VLM-TEXT,table-llava-v1.5-7b-hf,markdown,column_retrieval,33,616,5.4
VLM-TEXT,table-llava-v1.5-7b-hf,markdown,row_retrieval,0,616,0.0
VLM-TEXT,table-llava-v1.5-7b-hf,markdown,OVERALL,364,6160,5.9
VLM-TEXT,table-llava-v1.5-7b-hf,latex,table_partition,0,619,0.0
VLM-TEXT,table-llava-v1.5-7b-hf,latex,table_first_cell,209,619,33.8
VLM-TEXT,table-llava-v1.5-7b-hf,latex,table_last_cell,35,619,5.7
VLM-TEXT,table-llava-v1.5-7b-hf,latex,size_detection,0,619,0.0
VLM-TEXT,table-llava-v1.5-7b-hf,latex,number_of_rows,148,619,23.9
VLM-TEXT,table-llava-v1.5-7b-hf,latex,number_of_columns,59,619,9.5
VLM-TEXT,table-llava-v1.5-7b-hf,latex,cell_lookup,3,619,0.5
VLM-TEXT,table-llava-v1.5-7b-hf,latex,reverse_lookup,9,619,1.5
VLM-TEXT,table-llava-v1.5-7b-hf,latex,column_retrieval,48,619,7.8
VLM-TEXT,table-llava-v1.5-7b-hf,latex,row_retrieval,0,619,0.0
VLM-TEXT,table-llava-v1.5-7b-hf,latex,OVERALL,511,6190,8.3
LLM,Qwen2.5-7B-Instruct,html,table_partition,104,629,16.5
LLM,Qwen2.5-7B-Instruct,html,table_first_cell,590,629,93.8
LLM,Qwen2.5-7B-Instruct,html,table_last_cell,355,629,56.4
LLM,Qwen2.5-7B-Instruct,html,size_detection,211,629,33.5
LLM,Qwen2.5-7B-Instruct,html,number_of_rows,329,629,52.3
LLM,Qwen2.5-7B-Instruct,html,number_of_columns,503,629,80.0
LLM,Qwen2.5-7B-Instruct,html,cell_lookup,160,629,25.4
LLM,Qwen2.5-7B-Instruct,html,reverse_lookup,87,629,13.8
LLM,Qwen2.5-7B-Instruct,html,column_retrieval,471,629,74.9
LLM,Qwen2.5-7B-Instruct,html,row_retrieval,32,629,5.1
LLM,Qwen2.5-7B-Instruct,html,OVERALL,2842,6290,45.2
LLM,Qwen2.5-7B-Instruct,markdown,table_partition,36,629,5.7
LLM,Qwen2.5-7B-Instruct,markdown,table_first_cell,345,629,54.8
LLM,Qwen2.5-7B-Instruct,markdown,table_last_cell,332,629,52.8
LLM,Qwen2.5-7B-Instruct,markdown,size_detection,111,629,17.6
LLM,Qwen2.5-7B-Instruct,markdown,number_of_rows,393,629,62.5
LLM,Qwen2.5-7B-Instruct,markdown,number_of_columns,275,629,43.7
LLM,Qwen2.5-7B-Instruct,markdown,cell_lookup,51,629,8.1
