pipeline,model,dataset,input_format,output_format,grits_top,grits_con,grits_precision_top,grits_recall_top,grits_precision_con,grits_recall_con,usable_rate,grits_top_valid_only,grits_con_valid_only,grits_top_zero_pen,grits_con_zero_pen,count
VLM,InternVL3.5-30B-A3B,feverous,markdown,latex,0.9927,0.9388,0.9922,0.9955,0.9391,0.9395,0.8947,0.9929,0.9484,0.8884,0.8486,76
VLM,InternVL3.5-30B-A3B,wikitq,latex,html,0.8915,0.8237,0.8904,0.9397,0.8135,0.8607,1.0,0.8915,0.8237,0.8915,0.8237,179
VLM,InternVL3.5-30B-A3B,hybridqa,latex,html,0.9968,0.9623,0.9958,0.9981,0.9614,0.9635,1.0,0.9968,0.9623,0.9968,0.9623,148
VLM,InternVL3.5-30B-A3B,sqa,latex,html,0.9982,0.9807,0.9967,0.9999,0.9792,0.9825,1.0,0.9982,0.9807,0.9982,0.9807,102
VLM,InternVL3.5-30B-A3B,tabfact,latex,html,0.9962,0.9848,0.9941,0.9989,0.9826,0.9875,1.0,0.9962,0.9848,0.9962,0.9848,124
VLM,InternVL3.5-30B-A3B,feverous,latex,html,0.9783,0.9342,0.9762,0.9833,0.9287,0.9413,1.0,0.9783,0.9342,0.9783,0.9342,76
VLM,InternVL3.5-30B-A3B,wikitq,latex,markdown,0.9189,0.8363,0.9107,0.9654,0.8222,0.8663,1.0,0.9189,0.8363,0.9189,0.8363,179
VLM,InternVL3.5-30B-A3B,hybridqa,latex,markdown,0.9802,0.9326,0.9973,0.9785,0.9382,0.9319,1.0,0.9802,0.9326,0.9802,0.9326,148
VLM,InternVL3.5-30B-A3B,sqa,latex,markdown,0.9925,0.9556,1.0,0.9915,0.9593,0.9551,0.9902,1.0,0.9639,0.9902,0.9544,102
VLM,InternVL3.5-30B-A3B,tabfact,latex,markdown,1.0,0.9832,1.0,1.0,0.9832,0.9832,1.0,1.0,0.9832,1.0,0.9832,124
VLM,InternVL3.5-30B-A3B,feverous,latex,markdown,0.9866,0.9273,1.0,0.9823,0.9294,0.9256,0.9868,0.9964,0.9397,0.9833,0.9273,76
VLM,InternVL3.5-30B-A3B,wikitq,latex,latex,0.8458,0.8397,0.8532,0.8489,0.8418,0.8448,0.8659,0.9134,0.9082,0.791,0.7864,179
VLM,InternVL3.5-30B-A3B,hybridqa,latex,latex,0.9886,0.9433,0.9807,0.9981,0.9359,0.9521,0.8986,0.9899,0.956,0.8895,0.8591,148
VLM,InternVL3.5-30B-A3B,sqa,latex,latex,0.9922,0.9703,0.9868,0.9999,0.965,0.9779,0.9314,0.9919,0.9759,0.9238,0.9089,102
VLM,InternVL3.5-30B-A3B,tabfact,latex,latex,0.9948,0.9806,0.9903,1.0,0.9761,0.9857,0.9194,0.9948,0.9817,0.9146,0.9025,124
VLM,InternVL3.5-30B-A3B,feverous,latex,latex,0.9708,0.8844,0.9615,0.9845,0.8753,0.8973,0.8553,0.9797,0.8953,0.8379,0.7657,76
VLM,Qwen3-VL-30B-A3B-Instruct,wikitq,html,html,0.9623,0.9575,0.9903,0.954,0.9851,0.9493,1.0,0.9623,0.9575,0.9623,0.9575,179
VLM,Qwen3-VL-30B-A3B-Instruct,hybridqa,html,html,0.996,0.9894,0.9934,0.9992,0.9868,0.9926,1.0,0.996,0.9894,0.996,0.9894,148
VLM,Qwen3-VL-30B-A3B-Instruct,sqa,html,html,0.9974,0.9949,0.9958,0.9994,0.9931,0.9968,1.0,0.9974,0.9949,0.9974,0.9949,102
VLM,Qwen3-VL-30B-A3B-Instruct,tabfact,html,html,1.0,0.9928,1.0,1.0,0.9928,0.9928,1.0,1.0,0.9928,1.0,0.9928,124
VLM,Qwen3-VL-30B-A3B-Instruct,feverous,html,html,0.9746,0.9581,0.9671,0.9891,0.9502,0.9734,1.0,0.9746,0.9581,0.9746,0.9581,76
VLM,Qwen3-VL-30B-A3B-Instruct,wikitq,html,markdown,0.9875,0.9777,0.993,0.987,0.9829,0.9773,1.0,0.9875,0.9777,0.9875,0.9777,179
VLM,Qwen3-VL-30B-A3B-Instruct,hybridqa,html,markdown,0.996,0.988,0.993,1.0,0.985,0.992,1.0,0.996,0.988,0.996,0.988,148
VLM,Qwen3-VL-30B-A3B-Instruct,sqa,html,markdown,0.9967,0.9707,0.9939,1.0,0.9679,0.974,1.0,0.9967,0.9707,0.9967,0.9707,102
VLM,Qwen3-VL-30B-A3B-Instruct,tabfact,html,markdown,0.996,0.9903,0.9926,1.0,0.9869,0.9943,1.0,0.996,0.9903,0.996,0.9903,124
VLM,Qwen3-VL-30B-A3B-Instruct,feverous,html,markdown,0.9816,0.9592,0.9689,1.0,0.9471,0.977,1.0,0.9816,0.9592,0.9816,0.9592,76
VLM,Qwen3-VL-30B-A3B-Instruct,wikitq,html,latex,0.7601,0.7142,0.8529,0.7623,0.7595,0.7138,0.6704,0.8623,0.8158,0.5781,0.5469,179
VLM,Qwen3-VL-30B-A3B-Instruct,hybridqa,html,latex,0.8251,0.794,0.8907,0.852,0.7964,0.8171,0.7973,0.8701,0.8471,0.6937,0.6754,148
VLM,Qwen3-VL-30B-A3B-Instruct,sqa,html,latex,0.8728,0.8445,0.8948,0.9059,0.8324,0.8711,0.8137,0.9128,0.9,0.7428,0.7324,102
VLM,Qwen3-VL-30B-A3B-Instruct,tabfact,html,latex,0.9386,0.9136,0.9455,0.9597,0.9007,0.933,0.8387,0.956,0.9392,0.8018,0.7877,124
VLM,Qwen3-VL-30B-A3B-Instruct,feverous,html,latex,0.8836,0.8046,0.8837,0.9209,0.8006,0.8338,0.75,0.9582,0.8959,0.7186,0.672,76
VLM,Qwen3-VL-30B-A3B-Instruct,wikitq,markdown,html,0.9671,0.9525,0.9993,0.955,0.984,0.9408,1.0,0.9671,0.9525,0.9671,0.9525,179
VLM,Qwen3-VL-30B-A3B-Instruct,hybridqa,markdown,html,0.9998,0.9768,0.9998,0.9998,0.9768,0.9768,1.0,0.9998,0.9768,0.9998,0.9768,148
VLM,Qwen3-VL-30B-A3B-Instruct,sqa,markdown,html,1.0,0.9688,1.0,1.0,0.9688,0.9688,1.0,1.0,0.9688,1.0,0.9688,102
VLM,Qwen3-VL-30B-A3B-Instruct,tabfact,markdown,html,0.9998,0.9875,0.9995,1.0,0.9873,0.9877,1.0,0.9998,0.9875,0.9998,0.9875,124
VLM,Qwen3-VL-30B-A3B-Instruct,feverous,markdown,html,0.9957,0.9645,1.0,0.9931,0.9684,0.962,1.0,0.9957,0.9645,0.9957,0.9645,76
VLM,Qwen3-VL-30B-A3B-Instruct,wikitq,markdown,markdown,0.9881,0.9775,0.995,0.9858,0.9842,0.9752,1.0,0.9881,0.9775,0.9881,0.9775,179
VLM,Qwen3-VL-30B-A3B-Instruct,hybridqa,markdown,markdown,1.0,0.9877,1.0,1.0,0.9877,0.9877,1.0,1.0,0.9877,1.0,0.9877,148
VLM,Qwen3-VL-30B-A3B-Instruct,sqa,markdown,markdown,1.0,0.9921,1.0,1.0,0.9921,0.9921,1.0,1.0,0.9921,1.0,0.9921,102
VLM,Qwen3-VL-30B-A3B-Instruct,tabfact,markdown,markdown,1.0,0.9928,1.0,1.0,0.9928,0.9928,1.0,1.0,0.9928,1.0,0.9928,124
VLM,Qwen3-VL-30B-A3B-Instruct,feverous,markdown,markdown,0.999,0.9719,1.0,0.9981,0.9724,0.9714,1.0,0.999,0.9719,0.999,0.9719,76
VLM,Qwen3-VL-30B-A3B-Instruct,wikitq,markdown,latex,0.8967,0.838,0.9526,0.869,0.8833,0.8149,0.7486,0.9658,0.915,0.723,0.685,179
VLM,Qwen3-VL-30B-A3B-Instruct,hybridqa,markdown,latex,0.9976,0.9778,0.9984,0.9971,0.9785,0.9773,0.9324,0.9988,0.979,0.9313,0.9129,148
VLM,Qwen3-VL-30B-A3B-Instruct,sqa,markdown,latex,1.0,0.9708,1.0,1.0,0.9708,0.9708,0.9804,1.0,0.9724,0.9804,0.9533,102
VLM,Qwen3-VL-30B-A3B-Instruct,tabfact,markdown,latex,0.9996,0.9848,0.9992,1.0,0.9845,0.9852,0.9355,1.0,0.987,0.9355,0.9233,124
VLM,Qwen3-VL-30B-A3B-Instruct,feverous,markdown,latex,0.9993,0.9296,0.9999,0.9987,0.9302,0.929,0.9211,0.9993,0.9338,0.9204,0.8601,76
VLM,Qwen3-VL-30B-A3B-Instruct,wikitq,latex,html,0.9132,0.8711,0.9267,0.9385,0.8859,0.8847,1.0,0.9132,0.8711,0.9132,0.8711,179
VLM,Qwen3-VL-30B-A3B-Instruct,hybridqa,latex,html,0.996,0.985,1.0,0.9927,0.9885,0.982,1.0,0.996,0.985,0.996,0.985,148
