prompt_version,pipeline,model,format,task,correct,total,accuracy_pct,field_accuracy_pct,relaxed_accuracy_pct
prompt2,LLM,Qwen3-30B-A3B-Instruct-2507,markdown,reverse_lookup,121,629,19.2,19.2,19.2
prompt2,LLM,Qwen3-30B-A3B-Instruct-2507,markdown,column_retrieval,398,629,63.3,63.3,63.8
prompt2,LLM,Qwen3-30B-A3B-Instruct-2507,markdown,row_retrieval,37,629,5.9,17.3,22.0
prompt2,LLM,Qwen3-30B-A3B-Instruct-2507,markdown,OVERALL,2762,6290,43.9,51.9,52.6
prompt2,LLM,Qwen3-30B-A3B-Instruct-2507,latex,table_partition,160,629,25.4,57.5,59.0
prompt2,LLM,Qwen3-30B-A3B-Instruct-2507,latex,table_first_cell,326,629,51.8,51.8,51.8
prompt2,LLM,Qwen3-30B-A3B-Instruct-2507,latex,table_last_cell,366,629,58.2,58.2,59.5
prompt2,LLM,Qwen3-30B-A3B-Instruct-2507,latex,size_detection,283,629,45.0,72.0,72.7
prompt2,LLM,Qwen3-30B-A3B-Instruct-2507,latex,number_of_rows,325,629,51.7,51.7,51.7
prompt2,LLM,Qwen3-30B-A3B-Instruct-2507,latex,number_of_columns,537,629,85.4,85.4,85.4
prompt2,LLM,Qwen3-30B-A3B-Instruct-2507,latex,cell_lookup,29,629,4.6,21.9,21.9
prompt2,LLM,Qwen3-30B-A3B-Instruct-2507,latex,reverse_lookup,119,629,18.9,18.9,18.9
prompt2,LLM,Qwen3-30B-A3B-Instruct-2507,latex,column_retrieval,423,629,67.2,67.2,67.7
prompt2,LLM,Qwen3-30B-A3B-Instruct-2507,latex,row_retrieval,36,629,5.7,17.6,21.2
prompt2,LLM,Qwen3-30B-A3B-Instruct-2507,latex,OVERALL,2604,6290,41.4,50.2,51.0
prompt2,LLM,TAMA-QWen3,html,table_partition,17,629,2.7,3.4,53.3
prompt2,LLM,TAMA-QWen3,html,table_first_cell,67,629,10.7,10.7,50.2
prompt2,LLM,TAMA-QWen3,html,table_last_cell,65,629,10.3,10.3,51.2
