pipeline,model,dataset,input_format,output_format,grits_top,grits_con,grits_precision_top,grits_recall_top,grits_precision_con,grits_recall_con,count
VLM,InternVL3.5-30B-A3B,sqa,latex,html,0.9982,0.9807,0.9967,0.9999,0.9792,0.9825,102
VLM,InternVL3.5-30B-A3B,tabfact,latex,html,0.9962,0.9848,0.9941,0.9989,0.9826,0.9875,124
VLM,InternVL3.5-30B-A3B,feverous,latex,html,0.9783,0.9342,0.9762,0.9833,0.9287,0.9413,76
VLM,InternVL3.5-30B-A3B,wikitq,latex,markdown,0.9189,0.8363,0.9107,0.9654,0.8222,0.8663,179
VLM,InternVL3.5-30B-A3B,hybridqa,latex,markdown,0.9802,0.9326,0.9973,0.9785,0.9382,0.9319,148
VLM,InternVL3.5-30B-A3B,sqa,latex,markdown,0.9925,0.9556,1.0,0.9915,0.9593,0.9551,102
VLM,InternVL3.5-30B-A3B,tabfact,latex,markdown,1.0,0.9832,1.0,1.0,0.9832,0.9832,124
VLM,InternVL3.5-30B-A3B,feverous,latex,markdown,0.9866,0.9273,1.0,0.9823,0.9294,0.9256,76
VLM,InternVL3.5-30B-A3B,wikitq,latex,latex,0.8458,0.8397,0.8532,0.8489,0.8418,0.8448,179
VLM,InternVL3.5-30B-A3B,hybridqa,latex,latex,0.9886,0.9433,0.9807,0.9981,0.9359,0.9521,148
VLM,InternVL3.5-30B-A3B,sqa,latex,latex,0.9922,0.9703,0.9868,0.9999,0.965,0.9779,102
VLM,InternVL3.5-30B-A3B,tabfact,latex,latex,0.9948,0.9806,0.9903,1.0,0.9761,0.9857,124
VLM,InternVL3.5-30B-A3B,feverous,latex,latex,0.9708,0.8844,0.9615,0.9845,0.8753,0.8973,76
VLM,Qwen3-VL-30B-A3B-Instruct,wikitq,html,html,0.9623,0.9574,0.9903,0.954,0.9851,0.9493,179
VLM,Qwen3-VL-30B-A3B-Instruct,hybridqa,html,html,0.996,0.9894,0.9934,0.9992,0.9868,0.9926,148
VLM,Qwen3-VL-30B-A3B-Instruct,sqa,html,html,0.9974,0.9949,0.9958,0.9994,0.9931,0.9968,102
VLM,Qwen3-VL-30B-A3B-Instruct,tabfact,html,html,1.0,0.9928,1.0,1.0,0.9928,0.9928,124
VLM,Qwen3-VL-30B-A3B-Instruct,feverous,html,html,0.9746,0.9581,0.9671,0.9891,0.9502,0.9734,76
VLM,Qwen3-VL-30B-A3B-Instruct,wikitq,html,markdown,0.9875,0.9777,0.993,0.987,0.9829,0.9773,179
VLM,Qwen3-VL-30B-A3B-Instruct,hybridqa,html,markdown,0.996,0.988,0.993,1.0,0.985,0.992,148
VLM,Qwen3-VL-30B-A3B-Instruct,sqa,html,markdown,0.9967,0.9707,0.9939,1.0,0.9679,0.974,102
VLM,Qwen3-VL-30B-A3B-Instruct,tabfact,html,markdown,0.996,0.9903,0.9926,1.0,0.9869,0.9943,124
VLM,Qwen3-VL-30B-A3B-Instruct,feverous,html,markdown,0.9816,0.9592,0.9689,1.0,0.9471,0.977,76
VLM,Qwen3-VL-30B-A3B-Instruct,wikitq,html,latex,0.7601,0.7142,0.8529,0.7623,0.7595,0.7138,179
VLM,Qwen3-VL-30B-A3B-Instruct,hybridqa,html,latex,0.8251,0.794,0.8907,0.852,0.7964,0.8171,148
VLM,Qwen3-VL-30B-A3B-Instruct,sqa,html,latex,0.8728,0.8445,0.8948,0.9059,0.8324,0.8711,102
VLM,Qwen3-VL-30B-A3B-Instruct,tabfact,html,latex,0.9386,0.9136,0.9455,0.9597,0.9007,0.933,124
VLM,Qwen3-VL-30B-A3B-Instruct,feverous,html,latex,0.8836,0.8046,0.8837,0.9209,0.8006,0.8338,76
VLM,Qwen3-VL-30B-A3B-Instruct,wikitq,markdown,html,0.9671,0.9525,0.9993,0.955,0.984,0.9407,179
VLM,Qwen3-VL-30B-A3B-Instruct,hybridqa,markdown,html,0.9998,0.9768,0.9998,0.9998,0.9768,0.9768,148
VLM,Qwen3-VL-30B-A3B-Instruct,sqa,markdown,html,1.0,0.9688,1.0,1.0,0.9688,0.9688,102
VLM,Qwen3-VL-30B-A3B-Instruct,tabfact,markdown,html,0.9998,0.9875,0.9995,1.0,0.9873,0.9877,124
VLM,Qwen3-VL-30B-A3B-Instruct,feverous,markdown,html,0.9957,0.9645,1.0,0.9931,0.9684,0.962,76
VLM,Qwen3-VL-30B-A3B-Instruct,wikitq,markdown,markdown,0.9881,0.9775,0.995,0.9858,0.9842,0.9752,179
VLM,Qwen3-VL-30B-A3B-Instruct,hybridqa,markdown,markdown,1.0,0.9877,1.0,1.0,0.9877,0.9877,148
VLM,Qwen3-VL-30B-A3B-Instruct,sqa,markdown,markdown,1.0,0.9921,1.0,1.0,0.9921,0.9921,102
VLM,Qwen3-VL-30B-A3B-Instruct,tabfact,markdown,markdown,1.0,0.9928,1.0,1.0,0.9928,0.9928,124
VLM,Qwen3-VL-30B-A3B-Instruct,feverous,markdown,markdown,0.999,0.9719,1.0,0.9981,0.9724,0.9714,76
