prompt_version,pipeline,model,format,task,correct,total,accuracy_pct,field_accuracy_pct,relaxed_accuracy_pct
original,VLM-TEXT,ministral_3-14B-Instruct,markdown,number_of_rows,281,629,44.7,44.7,44.7
original,VLM-TEXT,ministral_3-14B-Instruct,markdown,number_of_columns,503,629,80.0,80.0,80.0
original,VLM-TEXT,ministral_3-14B-Instruct,markdown,cell_lookup,150,629,23.8,46.4,46.9
original,VLM-TEXT,ministral_3-14B-Instruct,markdown,reverse_lookup,134,629,21.3,21.3,21.6
original,VLM-TEXT,ministral_3-14B-Instruct,markdown,column_retrieval,390,629,62.0,62.0,63.1
original,VLM-TEXT,ministral_3-14B-Instruct,markdown,row_retrieval,70,629,11.1,19.6,30.7
original,VLM-TEXT,ministral_3-14B-Instruct,markdown,OVERALL,2325,6290,37.0,43.0,49.1
original,VLM-TEXT,ministral_3-14B-Instruct,latex,table_partition,89,629,14.1,40.9,50.1
original,VLM-TEXT,ministral_3-14B-Instruct,latex,table_first_cell,497,629,79.0,79.0,79.8
original,VLM-TEXT,ministral_3-14B-Instruct,latex,table_last_cell,392,629,62.3,62.3,63.0
original,VLM-TEXT,ministral_3-14B-Instruct,latex,size_detection,190,629,30.2,64.5,65.2
original,VLM-TEXT,ministral_3-14B-Instruct,latex,number_of_rows,255,629,40.5,40.5,40.5
original,VLM-TEXT,ministral_3-14B-Instruct,latex,number_of_columns,625,629,99.4,99.4,99.4
original,VLM-TEXT,ministral_3-14B-Instruct,latex,cell_lookup,121,629,19.2,44.0,44.4
original,VLM-TEXT,ministral_3-14B-Instruct,latex,reverse_lookup,107,629,17.0,17.0,17.3
original,VLM-TEXT,ministral_3-14B-Instruct,latex,column_retrieval,431,629,68.5,68.5,69.2
original,VLM-TEXT,ministral_3-14B-Instruct,latex,row_retrieval,77,629,12.2,18.8,28.0
original,VLM-TEXT,ministral_3-14B-Instruct,latex,OVERALL,2784,6290,44.3,53.5,55.7
original,VLM-TEXT,table-llava-v1.5-7b-hf,html,table_partition,0,599,0.0,0.1,64.2
original,VLM-TEXT,table-llava-v1.5-7b-hf,html,table_first_cell,118,600,19.7,19.7,41.3
original,VLM-TEXT,table-llava-v1.5-7b-hf,html,table_last_cell,17,600,2.8,2.8,11.5
original,VLM-TEXT,table-llava-v1.5-7b-hf,html,size_detection,0,600,0.0,0.0,47.5
original,VLM-TEXT,table-llava-v1.5-7b-hf,html,number_of_rows,42,600,7.0,7.0,22.0
original,VLM-TEXT,table-llava-v1.5-7b-hf,html,number_of_columns,3,600,0.5,0.5,26.8
original,VLM-TEXT,table-llava-v1.5-7b-hf,html,cell_lookup,1,599,0.2,1.2,6.9
original,VLM-TEXT,table-llava-v1.5-7b-hf,html,reverse_lookup,10,599,1.7,2.3,6.2
original,VLM-TEXT,table-llava-v1.5-7b-hf,html,column_retrieval,44,599,7.3,7.3,33.1
original,VLM-TEXT,table-llava-v1.5-7b-hf,html,row_retrieval,0,599,0.0,0.3,61.2
original,VLM-TEXT,table-llava-v1.5-7b-hf,html,OVERALL,235,5995,3.9,4.1,32.1
original,VLM-TEXT,table-llava-v1.5-7b-hf,markdown,table_partition,0,616,0.0,1.3,59.4
original,VLM-TEXT,table-llava-v1.5-7b-hf,markdown,table_first_cell,131,616,21.3,21.4,29.7
original,VLM-TEXT,table-llava-v1.5-7b-hf,markdown,table_last_cell,24,616,3.9,3.9,6.8
original,VLM-TEXT,table-llava-v1.5-7b-hf,markdown,size_detection,0,616,0.0,0.0,54.7
original,VLM-TEXT,table-llava-v1.5-7b-hf,markdown,number_of_rows,151,616,24.5,24.5,32.0
original,VLM-TEXT,table-llava-v1.5-7b-hf,markdown,number_of_columns,19,616,3.1,3.1,4.7
original,VLM-TEXT,table-llava-v1.5-7b-hf,markdown,cell_lookup,0,616,0.0,2.6,5.1
original,VLM-TEXT,table-llava-v1.5-7b-hf,markdown,reverse_lookup,6,616,1.0,2.3,5.2
original,VLM-TEXT,table-llava-v1.5-7b-hf,markdown,column_retrieval,33,616,5.4,5.4,10.2
original,VLM-TEXT,table-llava-v1.5-7b-hf,markdown,row_retrieval,0,616,0.0,3.2,58.9
original,VLM-TEXT,table-llava-v1.5-7b-hf,markdown,OVERALL,364,6160,5.9,6.8,26.7
original,VLM-TEXT,table-llava-v1.5-7b-hf,latex,table_partition,0,619,0.0,0.0,58.0
original,VLM-TEXT,table-llava-v1.5-7b-hf,latex,table_first_cell,209,619,33.8,33.8,44.1
original,VLM-TEXT,table-llava-v1.5-7b-hf,latex,table_last_cell,35,619,5.7,5.7,9.9
original,VLM-TEXT,table-llava-v1.5-7b-hf,latex,size_detection,0,619,0.0,0.0,59.8
original,VLM-TEXT,table-llava-v1.5-7b-hf,latex,number_of_rows,148,619,23.9,23.9,31.7
original,VLM-TEXT,table-llava-v1.5-7b-hf,latex,number_of_columns,59,619,9.5,9.5,16.5
original,VLM-TEXT,table-llava-v1.5-7b-hf,latex,cell_lookup,3,619,0.5,3.2,4.8
original,VLM-TEXT,table-llava-v1.5-7b-hf,latex,reverse_lookup,9,619,1.5,1.9,3.9
original,VLM-TEXT,table-llava-v1.5-7b-hf,latex,column_retrieval,48,619,7.8,7.8,14.4
original,VLM-TEXT,table-llava-v1.5-7b-hf,latex,row_retrieval,0,619,0.0,0.6,61.1
original,VLM-TEXT,table-llava-v1.5-7b-hf,latex,OVERALL,511,6190,8.3,8.6,30.4
original,LLM,Qwen2.5-7B-Instruct,html,table_partition,105,629,16.7,54.8,58.2
original,LLM,Qwen2.5-7B-Instruct,html,table_first_cell,598,629,95.1,95.1,95.1
original,LLM,Qwen2.5-7B-Instruct,html,table_last_cell,363,629,57.7,57.7,58.2
original,LLM,Qwen2.5-7B-Instruct,html,size_detection,129,629,20.5,54.0,54.5
original,LLM,Qwen2.5-7B-Instruct,html,number_of_rows,329,629,52.3,52.3,52.3
original,LLM,Qwen2.5-7B-Instruct,html,number_of_columns,503,629,80.0,80.0,80.0
original,LLM,Qwen2.5-7B-Instruct,html,cell_lookup,160,629,25.4,47.8,47.8
original,LLM,Qwen2.5-7B-Instruct,html,reverse_lookup,90,629,14.3,14.3,14.3
original,LLM,Qwen2.5-7B-Instruct,html,column_retrieval,474,629,75.4,75.4,75.5
original,LLM,Qwen2.5-7B-Instruct,html,row_retrieval,36,629,5.7,15.2,24.7
original,LLM,Qwen2.5-7B-Instruct,html,OVERALL,2787,6290,44.3,54.6,56.0
original,LLM,Qwen2.5-7B-Instruct,markdown,table_partition,37,629,5.9,29.5,33.3
original,LLM,Qwen2.5-7B-Instruct,markdown,table_first_cell,350,629,55.6,55.6,55.6
original,LLM,Qwen2.5-7B-Instruct,markdown,table_last_cell,338,629,53.7,53.7,54.5
original,LLM,Qwen2.5-7B-Instruct,markdown,size_detection,95,629,15.1,39.7,43.2
original,LLM,Qwen2.5-7B-Instruct,markdown,number_of_rows,393,629,62.5,62.5,62.5
original,LLM,Qwen2.5-7B-Instruct,markdown,number_of_columns,275,629,43.7,43.7,43.7
original,LLM,Qwen2.5-7B-Instruct,markdown,cell_lookup,51,629,8.1,28.4,28.4
original,LLM,Qwen2.5-7B-Instruct,markdown,reverse_lookup,58,629,9.2,9.2,9.7
original,LLM,Qwen2.5-7B-Instruct,markdown,column_retrieval,331,629,52.6,52.6,52.8
original,LLM,Qwen2.5-7B-Instruct,markdown,row_retrieval,17,629,2.7,7.6,19.9
original,LLM,Qwen2.5-7B-Instruct,markdown,OVERALL,1945,6290,30.9,38.3,40.4
original,LLM,Qwen2.5-7B-Instruct,latex,table_partition,70,629,11.1,41.8,44.1
original,LLM,Qwen2.5-7B-Instruct,latex,table_first_cell,279,629,44.4,44.4,44.4
original,LLM,Qwen2.5-7B-Instruct,latex,table_last_cell,345,629,54.8,54.8,56.0
original,LLM,Qwen2.5-7B-Instruct,latex,size_detection,21,629,3.3,60.8,62.2
original,LLM,Qwen2.5-7B-Instruct,latex,number_of_rows,216,629,34.3,34.3,34.3
original,LLM,Qwen2.5-7B-Instruct,latex,number_of_columns,623,629,99.0,99.0,99.0
original,LLM,Qwen2.5-7B-Instruct,latex,cell_lookup,46,629,7.3,28.1,28.1
original,LLM,Qwen2.5-7B-Instruct,latex,reverse_lookup,33,629,5.2,5.2,5.2
original,LLM,Qwen2.5-7B-Instruct,latex,column_retrieval,386,629,61.4,61.4,61.7
original,LLM,Qwen2.5-7B-Instruct,latex,row_retrieval,34,629,5.4,11.5,21.0
original,LLM,Qwen2.5-7B-Instruct,latex,OVERALL,2053,6290,32.6,44.1,45.6
original,LLM,Qwen3-30B-A3B-Instruct-2507,html,table_partition,283,629,45.0,73.5,75.1
original,LLM,Qwen3-30B-A3B-Instruct-2507,html,table_first_cell,596,629,94.8,94.8,94.8
original,LLM,Qwen3-30B-A3B-Instruct-2507,html,table_last_cell,428,629,68.0,68.0,68.5
original,LLM,Qwen3-30B-A3B-Instruct-2507,html,size_detection,454,629,72.2,85.8,85.8
original,LLM,Qwen3-30B-A3B-Instruct-2507,html,number_of_rows,510,629,81.1,81.1,81.1
original,LLM,Qwen3-30B-A3B-Instruct-2507,html,number_of_columns,565,629,89.8,89.8,90.0
original,LLM,Qwen3-30B-A3B-Instruct-2507,html,cell_lookup,281,629,44.7,63.7,63.8
original,LLM,Qwen3-30B-A3B-Instruct-2507,html,reverse_lookup,157,629,25.0,25.0,25.9
original,LLM,Qwen3-30B-A3B-Instruct-2507,html,column_retrieval,517,629,82.2,82.2,82.4
original,LLM,Qwen3-30B-A3B-Instruct-2507,html,row_retrieval,30,629,4.8,13.9,20.8
original,LLM,Qwen3-30B-A3B-Instruct-2507,html,OVERALL,3821,6290,60.7,67.8,68.8
original,LLM,Qwen3-30B-A3B-Instruct-2507,markdown,table_partition,147,629,23.4,53.9,56.4
